Pi,X,Y
145,1574.473684,209.6052632
101,1548.421053,238.0263158
147,1169.473684,233.2894737
152,1155.263158,316.1842105
103,1070,233.2894737
156,949.2105263,346.9736842
155,878.1578947,233.2894737
120,802.3684211,245.1315789
154,878.1578947,403.8157895
115,842.6315789,567.2368421
123,184.0572034,292.2139831
136,184.0572034,530.5614407
146,223.7817797,602.065678
150,218.4851695,911.9173729
107,218.4851695,1221.769068
151,422.404661,220.7097458
153,425.0529661,525.2648305
148,422.404661,554.3961864
106,422.404661,880.1377119
143,803.7605932,1293.273305
139,970.6038136,1277.383475
125,1132.150424,1221.769068
161,1208.951271,978.125
158,875.2648305,978.125
135,838.1885593,943.6970339
149,676.6419492,498.7817797
162,1902.807203,326.6419492
109,2154.396186,252.4894068
160,2082.891949,477.595339
144,1884.269068,530.5614407
157,1900.158898,668.2733051
129,2188.824153,946.345339
140,2194.120763,1253.548729
159,1796.875,1118.485169
118,1553.230932,1285.32839
163,1637.976695,1287.976695
132,1542.637712,1113.188559
114,1537.341102,1015.201271
124,1497.616525,983.4216102
133,1542.637712,978.125
108,1542.637712,567.2368421
