Time,ID,RSSI,PI
1718276438.377174,e2:28:7b:0f:49:16,-75,163
1718276449.4119582,e2:28:7b:0f:49:16,-75,163
1718276461.4998465,e2:28:7b:0f:49:16,-73,163
1718276466.5175092,e2:28:7b:0f:49:16,-75,163
1718276470.535056,e2:28:7b:0f:49:16,-73,163
1718276513.077149,e2:28:7b:0f:49:16,-78,133
1718276516.07928,e2:28:7b:0f:49:16,-76,133
1718276517.087775,e2:28:7b:0f:49:16,-76,133
1718276518.111983,e2:28:7b:0f:49:16,-77,133
1718276523.1214294,e2:28:7b:0f:49:16,-79,133
1718276529.1499307,e2:28:7b:0f:49:16,-78,133
1718276532.2340665,e2:28:7b:0f:49:16,-77,133
1718276534.159824,e2:28:7b:0f:49:16,-80,133
1718276535.1610055,e2:28:7b:0f:49:16,-78,133
1718276536.1635869,e2:28:7b:0f:49:16,-76,133
1718276538.19778,e2:28:7b:0f:49:16,-78,133
1718276540.1813514,e2:28:7b:0f:49:16,-79,133
1718276541.2554345,e2:28:7b:0f:49:16,-77,133
1718276542.192352,e2:28:7b:0f:49:16,-75,133
1718276543.2297077,e2:28:7b:0f:49:16,-81,133
1718276544.187529,e2:28:7b:0f:49:16,-79,133
1718276548.230307,e2:28:7b:0f:49:16,-78,133
1718276555.2631369,e2:28:7b:0f:49:16,-78,133
1718276556.3471549,e2:28:7b:0f:49:16,-81,133
1718276557.2557626,e2:28:7b:0f:49:16,-77,133
1718276566.3993344,e2:28:7b:0f:49:16,-78,133
1718276568.310284,e2:28:7b:0f:49:16,-76,133
1718276573.3190482,e2:28:7b:0f:49:16,-80,133
1718276574.3334208,e2:28:7b:0f:49:16,-79,133
1718276577.3509903,e2:28:7b:0f:49:16,-78,133
1718276578.3542676,e2:28:7b:0f:49:16,-77,133
1718276581.3945427,e2:28:7b:0f:49:16,-78,133
1718276586.406629,e2:28:7b:0f:49:16,-79,133
1718276587.1154566,e2:28:7b:0f:49:16,-72,163
1718276591.4475954,e2:28:7b:0f:49:16,-76,133
1718276593.139481,e2:28:7b:0f:49:16,-74,163
1718276596.15827,e2:28:7b:0f:49:16,-72,163
1718276599.483221,e2:28:7b:0f:49:16,-78,133
1718276601.1855917,e2:28:7b:0f:49:16,-74,163
1718276602.1862278,e2:28:7b:0f:49:16,-74,163
1718276602.5068514,e2:28:7b:0f:49:16,-77,133
1718276603.1814637,e2:28:7b:0f:49:16,-72,163
1718276607.2168007,e2:28:7b:0f:49:16,-73,163
1718276608.2146428,e2:28:7b:0f:49:16,-75,163
1718276614.24744,e2:28:7b:0f:49:16,-74,163
1718276618.312708,e2:28:7b:0f:49:16,-74,163
1718276619.2849438,e2:28:7b:0f:49:16,-73,163
1718276638.38281,e2:28:7b:0f:49:16,-74,163
1718276639.3864825,e2:28:7b:0f:49:16,-74,163
1718276640.3887577,e2:28:7b:0f:49:16,-73,163
1718276645.4239457,e2:28:7b:0f:49:16,-77,163
1718276646.418942,e2:28:7b:0f:49:16,-74,163
1718276650.454094,e2:28:7b:0f:49:16,-73,163
1718276656.4896443,e2:28:7b:0f:49:16,-74,163
1718276704.048001,e2:28:7b:0f:49:16,-77,133
1718276710.0858736,e2:28:7b:0f:49:16,-77,133
1718276717.1161568,e2:28:7b:0f:49:16,-77,133
1718276725.1774237,e2:28:7b:0f:49:16,-76,133
1718276729.196511,e2:28:7b:0f:49:16,-80,133
1718276740.2623503,e2:28:7b:0f:49:16,-78,133
1718276742.293617,e2:28:7b:0f:49:16,-79,133
1718276745.3602962,e2:28:7b:0f:49:16,-77,133
1718276748.3141432,e2:28:7b:0f:49:16,-75,133
1718276749.322312,e2:28:7b:0f:49:16,-78,133
1718276752.3535028,e2:28:7b:0f:49:16,-81,133
1718276754.0519063,e2:28:7b:0f:49:16,-72,163
1718276755.075323,e2:28:7b:0f:49:16,-73,163
1718276757.077504,e2:28:7b:0f:49:16,-74,163
1718276766.418982,e2:28:7b:0f:49:16,-76,133
1718276772.4474587,e2:28:7b:0f:49:16,-78,133
1718276773.1470163,e2:28:7b:0f:49:16,-73,163
1718276774.1487055,e2:28:7b:0f:49:16,-74,163
1718276775.4632173,e2:28:7b:0f:49:16,-76,133
1718276778.1787295,e2:28:7b:0f:49:16,-73,163
1718276778.4937086,e2:28:7b:0f:49:16,-76,133
1718276780.1867852,e2:28:7b:0f:49:16,-75,163
1718276780.4867754,e2:28:7b:0f:49:16,-80,133
1718276781.1853704,e2:28:7b:0f:49:16,-75,163
1718276788.219309,e2:28:7b:0f:49:16,-74,163
1718276792.2441456,e2:28:7b:0f:49:16,-74,163
1718276795.2485712,e2:28:7b:0f:49:16,-74,163
1718276800.283593,e2:28:7b:0f:49:16,-74,163
1718276802.283204,e2:28:7b:0f:49:16,-75,163
1718276804.3209643,e2:28:7b:0f:49:16,-72,163
1718276814.3502493,e2:28:7b:0f:49:16,-74,163
1718276815.343777,e2:28:7b:0f:49:16,-75,163
1718276816.3853772,e2:28:7b:0f:49:16,-74,163
1718276826.4199772,e2:28:7b:0f:49:16,-73,163
1718276827.411648,e2:28:7b:0f:49:16,-74,163
1718276829.435084,e2:28:7b:0f:49:16,-80,163
1718276839.4848988,e2:28:7b:0f:49:16,-73,163
1718276887.0920153,e2:28:7b:0f:49:16,-76,133
1718276888.071287,e2:28:7b:0f:49:16,-80,133
1718276899.1233125,e2:28:7b:0f:49:16,-81,133
1718276905.1438603,e2:28:7b:0f:49:16,-76,133
1718276906.1943066,e2:28:7b:0f:49:16,-78,133
1718276907.1586127,e2:28:7b:0f:49:16,-78,133
1718276913.1901798,e2:28:7b:0f:49:16,-77,133
1718276919.2146082,e2:28:7b:0f:49:16,-78,133
1718276924.2427633,e2:28:7b:0f:49:16,-77,133
1718276925.253338,e2:28:7b:0f:49:16,-79,133
1718276933.2955108,e2:28:7b:0f:49:16,-80,133
1718276946.3638422,e2:28:7b:0f:49:16,-77,133
1718276947.364207,e2:28:7b:0f:49:16,-81,133
1718276951.4625916,e2:28:7b:0f:49:16,-77,133
1718276959.0522857,e2:28:7b:0f:49:16,-75,163
1718276961.4204192,e2:28:7b:0f:49:16,-78,133
1718276963.073989,e2:28:7b:0f:49:16,-78,163
1718276970.1207333,e2:28:7b:0f:49:16,-73,163
1718276971.1272087,e2:28:7b:0f:49:16,-73,163
