# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/24/24 13:39:10.790742 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.96135,0.11498,-2.29958 0.08038,0.63214,0.53589 -0.31650,-0.52950,-0.26250 -0.96135,0.11498,-2.29958 0.08038,0.63214,0.53589 -0.28402,-0.53433,-0.28545 0.02553,-0.16815,-0.02469
06/24/24 13:39:10.834403 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.17566,-0.01490,-0.64942 0.04425,0.68097,0.60248 -0.28650,-0.54450,-0.27300 -0.17566,-0.01490,-0.64942 0.04425,0.68097,0.60248 -0.28877,-0.54268,-0.27232 0.07749,-0.15888,-0.33936
06/24/24 13:39:10.877741 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.12030,-0.10433,-0.04152 0.06873,0.77051,0.64966 -0.28050,-0.54300,-0.27600 0.12030,-0.10433,-0.04152 0.06873,0.77051,0.64966 -0.28043,-0.54305,-0.27603 0.04969,-0.03677,-0.30029
06/24/24 13:39:10.921528 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.10859,0.06494,0.01278 0.06628,0.74969,0.58783 -0.28350,-0.54300,-0.27900 0.10859,0.06494,0.01278 0.06628,0.74969,0.58783 -0.28339,-0.54294,-0.27901 0.00528,-0.07337,-0.23088
06/24/24 13:39:10.964967 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.04046,0.02236,-0.03939 0.04474,0.75964,0.61084 -0.27750,-0.54150,-0.27600 -0.04046,0.02236,-0.03939 0.04474,0.75964,0.61084 -0.27660,-0.54332,-0.27513 -0.00796,-0.03785,-0.16242
06/24/24 13:39:11.008767 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00745,-0.08091,-0.00958 0.06860,0.77106,0.62762 -0.27300,-0.54000,-0.27300 -0.00745,-0.08091,-0.00958 0.06860,0.77106,0.62762 -0.27497,-0.54220,-0.27377 0.00264,-0.01390,-0.14403
06/24/24 13:39:11.055021 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.04046,0.00745,-0.07239 0.04224,0.75903,0.59552 -0.27300,-0.54150,-0.27300 0.04046,0.00745,-0.07239 0.04224,0.75903,0.59552 -0.27917,-0.54245,-0.27559 -0.02815,-0.04054,-0.10584
06/24/24 13:39:11.098282 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.01384,0.00958,-0.03726 0.04865,0.77942,0.62207 -0.28050,-0.54450,-0.28200 -0.01384,0.00958,-0.03726 0.04865,0.77942,0.62207 -0.27815,-0.54300,-0.28033 -0.02188,-0.00599,-0.09110
06/24/24 13:39:11.142027 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.06281,-0.01384,-0.04684 0.06116,0.74542,0.60730 -0.27750,-0.54450,-0.27600 0.06281,-0.01384,-0.04684 0.06116,0.74542,0.60730 -0.27873,-0.54585,-0.27761 -0.00556,-0.03995,-0.08054
06/24/24 13:39:11.185473 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.00319,0.03087,-0.01278 0.04474,0.77051,0.61914 -0.27600,-0.53700,-0.28050 0.00319,0.03087,-0.01278 0.04474,0.77051,0.61914 -0.27733,-0.54155,-0.27638 -0.02190,-0.01270,-0.06139
06/24/24 13:39:11.229144 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.00000,0.02449,0.02023 0.05688,0.75903,0.60583 -0.27450,-0.54150,-0.27900 0.00000,0.02449,0.02023 0.05688,0.75903,0.60583 -0.27886,-0.54077,-0.27575 -0.01634,-0.02951,-0.06553
06/24/24 13:39:11.272855 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.02236,-0.03300,0.07239 0.04846,0.76294,0.60791 -0.26850,-0.54450,-0.27450 0.02236,-0.03300,0.07239 0.04846,0.76294,0.60791 -0.27480,-0.54383,-0.27731 -0.02216,-0.02494,-0.05233
06/24/24 13:39:11.316036 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00213,0.08730,0.00319 0.04694,0.75439,0.59888 -0.27900,-0.54300,-0.27900 -0.00213,0.08730,0.00319 0.04694,0.75439,0.59888 -0.27552,-0.54341,-0.27681 -0.02372,-0.03713,-0.04777
06/24/24 13:39:11.359922 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.02768,-0.00745,0.05855 0.05927,0.77991,0.61957 -0.27900,-0.54900,-0.27750 -0.02768,-0.00745,0.05855 0.05927,0.77991,0.61957 -0.27613,-0.54404,-0.27807 -0.01803,-0.00371,-0.05214
06/24/24 13:39:11.403162 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00958,0.03194,0.01490 0.04675,0.76825,0.61560 -0.27900,-0.54600,-0.27750 -0.00958,0.03194,0.01490 0.04675,0.76825,0.61560 -0.27669,-0.54439,-0.27765 -0.02059,-0.01537,-0.03792
06/24/24 13:39:11.446901 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.02981,0.02236,0.06388 0.04980,0.75842,0.60413 -0.27900,-0.54300,-0.27750 0.02981,0.02236,0.06388 0.04980,0.75842,0.60413 -0.27708,-0.54430,-0.27795 -0.02018,-0.03010,-0.03917
06/24/24 13:39:11.490817 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.06068,0.04046,0.05962 0.06140,0.76910,0.61450 -0.28050,-0.54150,-0.27450 -0.06068,0.04046,0.05962 0.06140,0.76910,0.61450 -0.27743,-0.54411,-0.27744 -0.01338,-0.01483,-0.04653
06/24/24 13:39:11.534090 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.03300,0.09049,0.02342 0.05286,0.75128,0.58167 -0.28050,-0.53700,-0.28500 -0.03300,0.09049,0.02342 0.05286,0.75128,0.58167 -0.27801,-0.54297,-0.27849 -0.02892,-0.04997,-0.04649
06/24/24 13:39:11.577846 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.08836,-0.00958,0.07239 0.06708,0.76636,0.62201 -0.28350,-0.53700,-0.27900 -0.08836,-0.00958,0.07239 0.06708,0.76636,0.62201 -0.27929,-0.54166,-0.27957 -0.00503,-0.01173,-0.04475
