# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/17/24 13:21:05.346092 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.00106,-0.81443,1.64803 -0.17780,0.62915,-0.28595 0.06000,-0.37350,0.16350 -0.00106,-0.81443,1.64803 -0.17780,0.62915,-0.28595 0.01235,-0.38009,0.17121 -0.21705,-0.39156,-0.30316
06/17/24 13:21:05.387867 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.96987,-0.52060,1.27541 -0.21906,0.76788,-0.48450 0.04050,-0.38700,0.15750 -0.96987,-0.52060,1.27541 -0.21906,0.76788,-0.48450 0.04124,-0.38563,0.15802 -0.18953,-0.42691,-0.71275
06/17/24 13:21:05.431261 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.97839,-0.14159,0.96667 0.03918,0.86304,-0.39484 0.03900,-0.40650,0.14550 -0.97839,-0.14159,0.96667 0.03918,0.86304,-0.39484 0.04007,-0.40507,0.14601 -0.09433,-0.13056,-0.37074
06/17/24 13:21:05.475151 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -1.12424,-1.08059,0.34707 0.08057,0.89954,-0.26685 0.02400,-0.42300,0.12750 -1.12424,-1.08059,0.34707 0.08057,0.89954,-0.26685 0.02363,-0.42224,0.12843 -0.13246,-0.10448,-0.25955
06/17/24 13:21:05.518346 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -1.13914,-0.69626,0.52486 -0.02142,1.01599,-0.14545 0.02850,-0.43200,0.10500 -1.13914,-0.69626,0.52486 -0.02142,1.01599,-0.14545 0.02799,-0.43113,0.10551 -0.21882,-0.04429,-0.30429
06/17/24 13:21:05.562029 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.31193,-0.66006,0.64090 0.10474,1.04871,-0.10309 0.01650,-0.45300,0.09300 -0.31193,-0.66006,0.64090 0.10474,1.04871,-0.10309 0.01738,-0.45184,0.09241 -0.21075,0.01688,-0.20720
06/17/24 13:21:05.608158 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.22783,-1.66187,1.57777 0.17761,1.02216,-0.14648 0.02100,-0.45600,0.08400 -0.22783,-1.66187,1.57777 0.17761,1.02216,-0.14648 0.02338,-0.45433,0.08615 -0.15288,0.01996,-0.18468
06/17/24 13:21:05.651439 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.94538,-2.30490,2.80314 0.21716,1.04205,-0.09027 0.00300,-0.46800,0.07200 -0.94538,-2.30490,2.80314 0.21716,1.04205,-0.09027 0.00357,-0.46694,0.07400 -0.20443,0.02243,-0.23246
06/17/24 13:21:05.695190 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.48973,-1.94825,1.84179 0.20056,1.19110,-0.03461 -0.02850,-0.48150,0.05100 -0.48973,-1.94825,1.84179 0.20056,1.19110,-0.03461 -0.02703,-0.48146,0.05100 -0.27693,0.10224,-0.41052
06/17/24 13:21:05.738659 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.92515,-1.26477,-1.22538 0.33759,1.00067,-0.26288 -0.03000,-0.49650,0.04200 -0.92515,-1.26477,-1.22538 0.33759,1.00067,-0.26288 -0.03267,-0.49370,0.04165 -0.01125,0.06897,-0.20393
06/17/24 13:21:05.782372 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -1.49260,-0.09795,-0.92941 0.13129,0.52277,0.15906 -0.01950,-0.49800,0.02400 -1.49260,-0.09795,-0.92941 0.13129,0.52277,0.15906 -0.01934,-0.49729,0.02443 -0.26294,-0.52106,-0.13155
06/17/24 13:21:05.826109 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 1.79069,-1.42978,2.68710 0.29059,0.89392,-0.21967 -0.01800,-0.49650,0.01350 1.79069,-1.42978,2.68710 0.29059,0.89392,-0.21967 -0.01760,-0.49646,0.01355 -0.01268,-0.04990,-0.17013
06/17/24 13:21:05.869572 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.65048,-1.85031,0.87086 0.46594,0.88000,-0.08508 -0.03900,-0.49350,0.03150 -0.65048,-1.85031,0.87086 0.46594,0.88000,-0.08508 -0.03703,-0.49507,0.03268 -0.18099,-0.01987,-0.07304
06/17/24 13:21:05.913335 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -0.43862,-2.69881,0.85276 0.39520,0.83490,-0.06744 -0.04050,-0.50550,0.01650 -0.43862,-2.69881,0.85276 0.39520,0.83490,-0.06744 -0.04245,-0.50497,0.01835 -0.16366,-0.09792,-0.13138
06/17/24 13:21:05.956575 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 -1.11785,-2.06323,0.77185 0.18671,0.91211,-0.22467 -0.04200,-0.50400,0.00000 -1.11785,-2.06323,0.77185 0.18671,0.91211,-0.22467 -0.04186,-0.50423,0.00173 0.07628,-0.07518,-0.23701
06/17/24 13:21:06.000527 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 0.32152,-0.92303,0.83040 0.19873,1.16431,-0.06073 -0.04800,-0.51300,-0.01800 0.32152,-0.92303,0.83040 0.19873,1.16431,-0.06073 -0.04590,-0.51479,-0.01525 -0.04222,0.11038,-0.40505
06/17/24 13:21:06.044309 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 94 0.02342,-0.90386,0.55893 0.60388,0.71613,-0.02533 -0.06000,-0.51750,-0.00600 0.02342,-0.90386,0.55893 0.60388,0.71613,-0.02533 -0.05970,-0.51679,-0.00665 -0.30375,-0.11593,0.06561
