# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/13/24 12:28:56.663078 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.49292,-0.01703,-0.03833 0.22327,1.06958,0.08008 -0.44700,0.16650,0.14550 -0.49292,-0.01703,-0.03833 0.22327,1.06958,0.08008 -0.41977,0.15835,0.14381 -0.06675,0.03572,0.35083
06/13/24 12:28:56.677891 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.73991,-0.00958,-0.23422 0.21332,0.99225,0.12708 -0.43800,0.16350,0.14550 -0.73991,-0.00958,-0.23422 0.21332,0.99225,0.12708 -0.43580,0.16376,0.14415 -0.09772,-0.01506,0.25799
06/13/24 12:28:56.721207 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.64303,0.18631,-0.49079 0.07184,0.78253,0.26318 -0.40800,0.13650,0.13800 -0.64303,0.18631,-0.49079 0.07184,0.78253,0.26318 -0.41021,0.13823,0.13886 -0.01616,-0.25026,0.35272
06/13/24 12:28:56.759823 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.46630,-0.03087,1.40317 0.36316,0.95325,0.04633 -0.41400,0.13200,0.14100 0.46630,-0.03087,1.40317 0.36316,0.95325,0.04633 -0.40887,0.13103,0.13971 -0.10680,0.00958,0.10979
06/13/24 12:28:56.803177 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00745,-0.00639,-0.02449 0.19037,0.93481,0.18054 -0.42450,0.12450,0.14550 -0.00745,-0.00639,-0.02449 0.19037,0.93481,0.18054 -0.42495,0.12502,0.14434 -0.08662,-0.08161,0.30292
06/13/24 12:28:56.841736 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.02662,0.01278,-0.01384 0.21423,0.94659,0.15234 -0.41850,0.12900,0.14550 -0.02662,0.01278,-0.01384 0.21423,0.94659,0.15234 -0.41894,0.12942,0.14556 -0.10069,-0.06230,0.27517
06/13/24 12:28:56.885483 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00319,-0.00852,0.00639 0.22418,0.94269,0.15845 -0.42150,0.12600,0.14700 -0.00319,-0.00852,0.00639 0.22418,0.94269,0.15845 -0.42157,0.12598,0.14652 -0.08991,-0.06083,0.27186
06/13/24 12:28:56.928963 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.01597,0.00319,0.00958 0.22986,0.95221,0.15210 -0.42000,0.12750,0.14400 -0.01597,0.00319,0.00958 0.22986,0.95221,0.15210 -0.42193,0.12977,0.14492 -0.09571,-0.05059,0.26856
06/13/24 12:28:56.967526 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.01916,-0.00958,0.00745 0.23407,0.95343,0.14941 -0.42600,0.13050,0.14100 -0.01916,-0.00958,0.00745 0.23407,0.95343,0.14941 -0.42441,0.13031,0.14294 -0.09647,-0.04795,0.26540
06/13/24 12:28:57.010803 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00319,-0.02662,0.01810 0.23181,0.95032,0.14624 -0.42450,0.13500,0.13950 -0.00319,-0.02662,0.01810 0.23181,0.95032,0.14624 -0.42126,0.13469,0.14189 -0.09929,-0.05230,0.26502
